epoch,mean_smooth,upper_smooth,lower_smooth
1,-125.38489788485256,-92.50042941913162,-158.26936635057348
5,-40.52862089139519,-18.325572038252425,-62.73166974453797
9,-16.098060535278076,4.4723038702390845,-36.668424940795234
13,0.557764899265618,21.632194611671473,-20.516664813140235
17,15.093141246281949,37.84745500953537,-7.661172516971472
21,28.45704788950807,52.00135970059234,4.912736078423801
25,40.76658684410713,65.67248958317043,15.860684105043829
29,51.76102368303622,77.72892354292632,25.793123823146114
33,62.12541052233203,89.25560716676979,34.99521387789428
37,72.19151164993947,99.87400800029828,44.509015299580675
41,81.01111924736267,109.37804044650376,52.644198048221604
45,89.04722748956935,117.23605574169174,60.858399237446974
49,96.80304044837887,124.82045715880201,68.78562373795573
53,113.15032208381167,140.88419296492225,85.41645120270114
57,127.49869749111335,154.7066361373378,100.29075884488888
61,138.9436527982795,165.93572891481875,111.95157668174022
65,148.1885213715673,174.60611913518858,121.77092360794603
69,156.7499837825412,182.4455371354028,131.05443042967966
73,163.52808617929122,188.2354784537018,138.82069390488067
77,168.57145592694883,191.70444502197253,145.4384668319252
81,173.0718015050462,194.42303017774933,151.7205728323431
85,176.38678587009937,196.05878301480155,156.7147887253972
89,178.37067957286337,196.39107051937108,160.35028862635562
93,179.96467862563063,196.55939533833214,163.3699619129291
97,180.47502262496437,196.0093705955937,164.94067465433497
101,181.3267750308085,195.67828871490693,166.97526134671006
105,181.67065199214633,195.0975703616497,168.24373362264296
109,183.33366031091415,196.48856142513952,170.17875919668876
113,184.88123949859488,197.308850810047,172.45362818714267
117,185.9334250212704,197.41080487283253,174.45604516970832
121,186.77938594885003,197.51804762631247,176.04072427138755
125,187.65998170833106,197.9619381063808,177.35802531028128
129,187.76706349092703,197.72424478711798,177.8098821947361
133,187.67174104694652,197.42665820142463,177.91682389246844
137,188.02948722610859,197.56581981389536,178.49315463832176
141,188.4806748145607,197.57394055887008,179.3874090702513
145,188.22095659217086,196.82004989010002,179.6218632942417
149,188.4379664732483,196.77824627850475,180.09768666799187
153,187.7233900406832,195.66190511379892,179.78487496756742
157,187.73415264236584,195.75017270271283,179.7181325820188
161,187.87915271502754,195.64431801578084,180.11398741427422
165,187.78856405289403,195.84545638965432,179.7316717161337
169,187.52972649569926,195.12957925134387,179.92987374005463
173,187.67165314881294,195.49935149736658,179.8439548002593
177,187.9119447728755,195.31129481912544,180.51259472662557
181,188.34188224354574,195.71528032664833,180.96848416044318
185,188.94109995745384,196.212726749578,181.66947316532966
189,188.8371215181247,196.2132650294088,181.46097800684063
193,188.77145893057784,196.49605058578655,181.04686727536918
197,189.07351557405028,196.76776207245038,181.37926907565014
201,189.82087793984564,197.44982496804982,182.1919309116414
205,192.19464335798756,199.8991069828822,184.49017973309293
209,193.82601861852902,201.78783010094446,185.86420713611355
213,195.69088487079023,203.8931016518697,187.4886680897107
217,197.19728569246283,205.21536439876868,189.17920698615694
221,199.0796140897702,207.3856745436549,190.77355363588546
225,201.14366263567345,209.4019998317855,192.88532543956137
229,203.14922521286576,211.57708407480678,194.72136635092474
233,204.95247343366634,213.39339513229024,196.51155173504245
237,207.26398056457649,215.4581198147981,199.0698413143549
241,209.26269025117458,217.29493832725976,201.23044217508937
245,211.6137900313376,219.67929143923087,203.5482886234444
249,213.74453792256747,221.85082602859072,205.63824981654426
253,214.124668079217,222.3551829667487,205.89415319168532
257,215.14284016731196,223.3537105272647,206.9319698073592
261,214.97210031146201,222.9767107666982,206.96748985622588
265,215.50887133486722,223.2963335652525,207.72140910448195
269,215.91331910497684,223.83041830490362,207.99621990505005
273,215.93445981354736,223.44975231441694,208.4191673126778
277,215.66099932231583,223.2994931026694,208.02250554196223
281,216.20184219985381,223.56524001328017,208.83844438642748
285,216.37334089625372,223.46678674310985,209.2798950493976
289,216.61561526650013,223.96975697093848,209.26147356206184
293,216.53319289894253,224.02841482774195,209.03797097014314
297,216.32766478224178,223.87702183311248,208.7783077313711
301,216.1384666290508,223.78343951909366,208.49349373900796
305,215.76407405240704,223.06004637853354,208.4681017262805
309,215.55472818296195,222.99458840915202,208.1148679567719
313,215.4866989361598,222.76870445617405,208.2046934161456
317,215.25911810508967,222.58802048968272,207.93021572049656
321,215.16703545057916,222.85611060392654,207.47796029723176
325,214.96858391747958,222.8347350859518,207.1024327490074
329,214.69745738871723,222.9128668481256,206.48204792930886
333,214.4093779995577,222.8328626881186,205.98589331099672
337,214.31211748968585,222.43518445630127,206.18905052307045
341,214.05989609418842,222.29609049667596,205.82370169170088
345,213.6749233491659,221.9609048839185,205.38894181441333
349,214.10089312781568,222.18249254412729,206.0192937115041
353,218.58457612471412,226.98352196004976,210.1856302893785
357,224.24813248389017,232.92742720171606,215.56883776606432
361,230.21711413846614,239.31931325479889,221.11491502213343
365,236.00505785822756,245.34938790014482,226.66072781631024
369,241.9229500072229,251.64650948407908,232.19939053036668
373,248.51629590183077,258.36901459673066,238.66357720693094
377,254.8071374045972,264.71768620649055,244.8965886027038
381,260.3293107927516,270.1092329967376,250.5493885887655
385,266.4159099945037,276.6823899811522,256.14943000785513
389,272.69271685355704,283.42267390852743,261.9627597985866
393,278.81329694542796,290.5806450700365,267.04594882081943
397,284.7936258478377,296.5460273984488,273.0412242972265
400,289.1394635600247,300.94839367551305,277.3305334445364
